"Location","sd_pe","mape","mpe"
"National",1.06112198263361,0.426968155451807,0.0716458814303837
"East South Central",2.78668033873011,1.71545520219066,0.589137019731921
"Pacific",1.76709494240187,1.39481134057731,0.166798455591229
"Mountain",3.1763807014815,2.21117013146901,0.301902740644782
"West South Central",2.38248578746108,1.7576794018119,-0.0441848640329769
"New England",3.00208900257475,2.86270837578685,-0.680799394099331
"South Atlantic",1.80492390647522,1.3147633735285,0.546852500488682
"East North Central",1.28086874199404,0.657442980491982,0.198860696938584
"West North Central",1.97983641795783,1.54448760052208,-0.0969244496836073
"Middle Atlantic",2.18719332317406,1.24137999612193,0
"Alabama",4.09955190331306,4.77982319394422,4.77982319394422
"Alaska",11.5568403799243,11.6450216450216,11.6450216450216
"Arizona",5.50041056207095,4.48479593664383,4.48479593664383
"Arkansas",6.80578131743734,5.72802975179885,5.72802975179885
"California",1.34734206413993,1.75529283735655,1.75529283735655
"Colorado",2.75438024082755,3.25135741440452,3.25135741440452
"Connecticut",2.64544173585791,2.53865198297211,2.53865198297211
"Delaware",5.72205617056371,6.19588744588745,6.19588744588745
"District of Columbia",18.0795586732384,10.5154189822382,10.5154189822382
"Florida",2.03556111462874,3.24047206171066,3.24047206171066
"Georgia",2.94310651020775,3.55923073513819,3.55923073513819
"Hawaii",9.71071984673695,5.88235294117647,5.88235294117647
"Idaho",8.17074098213216,7.01530612244898,7.01530612244898
"Illinois",1.85892295873774,2.37945185651823,2.37945185651823
"Indiana",1.94521966073396,2.30491700170791,2.30491700170791
"Iowa",6.67656143147095,8.24175824175824,8.24175824175824
"Kansas",5.58547086891021,5.43606350057963,5.43606350057963
"Kentucky",3.67404914829297,3.2921968787515,3.2921968787515
"Louisiana",3.24746737490265,3.58900493013215,3.58900493013215
"Maine",6.59612425229403,5.30492898913951,5.30492898913951
"Maryland",2.38468365921376,2.49076142201008,2.49076142201008
"Massachusetts",3.2427957825157,4.24202755474095,4.24202755474095
"Michigan",1.69138292806852,2.02211130866102,2.02211130866102
"Minnesota",2.77529617235065,3.67955677197762,3.67955677197762
"Mississippi",7.07503960435456,10.0643458175219,10.0643458175219
"Missouri",1.87957956242885,1.64217542796546,1.64217542796546
"Montana",20.3153866387105,11.4285714285714,11.4285714285714
"Nebraska",19.0919084566956,8.65800865800866,8.65800865800866
"Nevada",6.33104215311928,4.67752485609628,4.67752485609628
"New Hampshire",6.4204943976715,8.2046332046332,8.2046332046332
"New Jersey",2.16030570836636,2.27562246478904,2.27562246478904
"New Mexico",4.33948815496738,3.83184329632474,3.83184329632474
"New York",1.983204878649,2.60261991026798,2.60261991026798
"North Carolina",2.73468625230327,3.06835616487805,3.06835616487805
"North Dakota",34.2131754354444,16.6666666666667,16.6666666666667
"Ohio",1.1493036516965,1.11801242236025,1.11801242236025
"Oklahoma",4.14665649833368,2.14737793851718,2.14737793851718
"Oregon",3.56675720340246,3.00483829895595,3.00483829895595
"Pennsylvania",1.85271472022115,1.97395197395197,1.97395197395197
"Rhode Island",9.17592165723968,8.82789479428135,8.82789479428135
"South Carolina",4.03267632500326,3.54141656662665,3.54141656662665
"South Dakota",21.4965690115007,25.6493506493506,25.6493506493506
"Tennessee",2.48567179150312,1.98717862731947,1.98717862731947
"Texas",1.4287865561775,2.64525026549594,2.64525026549594
"Utah",7.63963748111998,8.04458545545629,8.04458545545629
"Vermont",18.3178555345209,11.3095238095238,11.3095238095238
"Virginia",2.42344604258868,1.70977457568151,1.70977457568151
"Washington",2.17382357440729,2.13608502055977,2.13608502055977
"West Virginia",5.14873255296821,4.09393346379648,4.09393346379648
"Wisconsin",3.55070347913572,3.23113519228228,3.23113519228228
"Wyoming",30.2613773304949,21.6666666666667,21.6666666666667
